THREE	TWO	0	1	0.099475812
THREE	TWO	0	2	0.084397346
THREE	TWO	0	3	0.073460605
THREE	TWO	0	4	0.064120692
THREE	TWO	0	5	0.056463355
THREE	TWO	0	6	0.050330043
THREE	TWO	0	7	0.045070376
THREE	TWO	0	8	0.040985277
THREE	TWO	0	9	0.037217278
FOUR	TWO	0	1	0.104856819
FOUR	TWO	0	2	0.089241223
FOUR	TWO	0	3	0.077696165
FOUR	TWO	0	4	0.068697621
FOUR	TWO	0	5	0.060781426
FOUR	TWO	0	6	0.054211292
FOUR	TWO	0	7	0.049283287
FOUR	TWO	0	8	0.044879469
FOUR	TWO	0	9	0.040590519
FOUR	THREE	0	1	0.124195114
FOUR	THREE	0	2	0.104809901
FOUR	THREE	0	3	0.090451383
FOUR	THREE	0	4	0.079736288
FOUR	THREE	0	5	0.071426953
FOUR	THREE	0	6	0.064237178
FOUR	THREE	0	7	0.057738230
FOUR	THREE	0	8	0.052637113
FOUR	THREE	0	9	0.048029445
FIVE	TWO	0	1	0.114729008
FIVE	TWO	0	2	0.095856657
FIVE	TWO	0	3	0.082331337
FIVE	TWO	0	4	0.071934961
FIVE	TWO	0	5	0.063496198
FIVE	TWO	0	6	0.056562044
FIVE	TWO	0	7	0.050760394
FIVE	TWO	0	8	0.046731920
FIVE	TWO	0	9	0.042391198
FIVE	THREE	0	1	0.128794693
FIVE	THREE	0	2	0.110021032
FIVE	THREE	0	3	0.095631774
FIVE	THREE	0	4	0.084187024
FIVE	THREE	0	5	0.075249959
FIVE	THREE	0	6	0.067634686
FIVE	THREE	0	7	0.061266785
FIVE	THREE	0	8	0.056731920
FIVE	THREE	0	9	0.051894515
FIVE	FOUR	0	1	0.153625626
FIVE	FOUR	0	2	0.128365960
FIVE	FOUR	0	3	0.110106778
FIVE	FOUR	0	4	0.096338780
FIVE	FOUR	0	5	0.086324219
FIVE	FOUR	0	6	0.077921048
FIVE	FOUR	0	7	0.070263711
FIVE	FOUR	0	8	0.064640025
FIVE	FOUR	0	9	0.059948228
SIX	TWO	0	1	0.106574987
SIX	TWO	0	2	0.085882543
SIX	TWO	0	3	0.070773337
SIX	TWO	0	4	0.061038666
SIX	TWO	0	5	0.052472091
SIX	TWO	0	6	0.046246562
SIX	TWO	0	7	0.040888205
SIX	TWO	0	8	0.036809577
SIX	TWO	0	9	0.032695356
SIX	THREE	0	1	0.120622876
SIX	THREE	0	2	0.099270344
SIX	THREE	0	3	0.084272771
SIX	THREE	0	4	0.072776249
SIX	THREE	0	5	0.064309982
SIX	THREE	0	6	0.057427600
SIX	THREE	0	7	0.051629186
SIX	THREE	0	8	0.046909885
SIX	THREE	0	9	0.043463840
SIX	FOUR	0	1	0.142088658
SIX	FOUR	0	2	0.116549102
SIX	FOUR	0	3	0.098895000
SIX	FOUR	0	4	0.086519980
SIX	FOUR	0	5	0.077286846
SIX	FOUR	0	6	0.068797929
SIX	FOUR	0	7	0.062730949
SIX	FOUR	0	8	0.057351561
SIX	FOUR	0	9	0.052523863
SIX	FIVE	0	1	0.168231677
SIX	FIVE	0	2	0.135431160
SIX	FIVE	0	3	0.114829315
SIX	FIVE	0	4	0.100022650
SIX	FIVE	0	5	0.087984144
SIX	FIVE	0	6	0.079623038
SIX	FIVE	0	7	0.071655071
SIX	FIVE	0	8	0.065683546
SIX	FIVE	0	9	0.060464326
SEVEN	TWO	0	1	0.106031386
SEVEN	TWO	0	2	0.079618184
SEVEN	TWO	0	3	0.064342339
SEVEN	TWO	0	4	0.053638569
SEVEN	TWO	0	5	0.045408509
SEVEN	TWO	0	6	0.038763954
SEVEN	TWO	0	7	0.033560912
SEVEN	TWO	0	8	0.029294612
SEVEN	TWO	0	9	0.025842096
SEVEN	THREE	0	1	0.120103543
SEVEN	THREE	0	2	0.092595049
SEVEN	THREE	0	3	0.076824138
SEVEN	THREE	0	4	0.064813137
SEVEN	THREE	0	5	0.055720757
SEVEN	THREE	0	6	0.048411260
SEVEN	THREE	0	7	0.043230868
SEVEN	THREE	0	8	0.037967966
SEVEN	THREE	0	9	0.034657822
SEVEN	FOUR	0	1	0.140983659
SEVEN	FOUR	0	2	0.109354473
SEVEN	FOUR	0	3	0.090881734
SEVEN	FOUR	0	4	0.078539071
SEVEN	FOUR	0	5	0.068773661
SEVEN	FOUR	0	6	0.060656851
SEVEN	FOUR	0	7	0.053971849
SEVEN	FOUR	0	8	0.049427277
SEVEN	FOUR	0	9	0.044251739
SEVEN	FIVE	0	1	0.161147063
SEVEN	FIVE	0	2	0.127175214
SEVEN	FIVE	0	3	0.107188157
SEVEN	FIVE	0	4	0.092313541
SEVEN	FIVE	0	5	0.081072641
SEVEN	FIVE	0	6	0.072415466
SEVEN	FIVE	0	7	0.065366445
SEVEN	FIVE	0	8	0.059309173
SEVEN	FIVE	0	9	0.054455589
SEVEN	SIX	0	1	0.187887073
SEVEN	SIX	0	2	0.146162433
SEVEN	SIX	0	3	0.121661543
SEVEN	SIX	0	4	0.104358518
SEVEN	SIX	0	5	0.091511082
SEVEN	SIX	0	6	0.082732567
SEVEN	SIX	0	7	0.074390875
SEVEN	SIX	0	8	0.067484225
SEVEN	SIX	0	9	0.062376638
EIGHT	TWO	0	1	0.122290891
EIGHT	TWO	0	2	0.086882381
EIGHT	TWO	0	3	0.068768807
EIGHT	TWO	0	4	0.056744863
EIGHT	TWO	0	5	0.047416275
EIGHT	TWO	0	6	0.040375343
EIGHT	TWO	0	7	0.034746804
EIGHT	TWO	0	8	0.030535512
EIGHT	TWO	0	9	0.026731920
